TIME_PERIOD,geo,siec,OBS_VALUE
2003,European Union - 27 countries (from 2020),Wind,3724.406
2004,European Union - 27 countries (from 2020),Wind,4947.341
2005,European Union - 27 countries (from 2020),Wind,5856.667
2006,European Union - 27 countries (from 2020),Wind,6770.263
2007,European Union - 27 countries (from 2020),Wind,8593.286
2008,European Union - 27 countries (from 2020),Wind,9739.884
2009,European Union - 27 countries (from 2020),Wind,10714.102
2010,European Union - 27 countries (from 2020),Wind,12028.614
2011,European Union - 27 countries (from 2020),Wind,14224.086
2012,European Union - 27 countries (from 2020),Wind,16125.131
2013,European Union - 27 countries (from 2020),Wind,18018.941
2014,European Union - 27 countries (from 2020),Wind,19126.533
2015,European Union - 27 countries (from 2020),Wind,22640.861
2016,European Union - 27 countries (from 2020),Wind,22950.655
2017,European Union - 27 countries (from 2020),Wind,26864.666
2018,European Union - 27 countries (from 2020),Wind,27580.281
2019,European Union - 27 countries (from 2020),Wind,31580.678
2020,European Union - 27 countries (from 2020),Wind,34236.761
2021,European Union - 27 countries (from 2020),Wind,33272.466
2022,European Union - 27 countries (from 2020),Wind,36272.835
2023,European Union - 27 countries (from 2020),Wind,41108.907
1990,European Union - 27 countries (from 2020),Solar thermal,151.917
1991,European Union - 27 countries (from 2020),Solar thermal,170.427
1992,European Union - 27 countries (from 2020),Solar thermal,188.965
1993,European Union - 27 countries (from 2020),Solar thermal,204.207
1994,European Union - 27 countries (from 2020),Solar thermal,222.393
1995,European Union - 27 countries (from 2020),Solar thermal,272.618
1996,European Union - 27 countries (from 2020),Solar thermal,295.281
1997,European Union - 27 countries (from 2020),Solar thermal,350.258
1998,European Union - 27 countries (from 2020),Solar thermal,384.125
1999,European Union - 27 countries (from 2020),Solar thermal,418.223
2000,European Union - 27 countries (from 2020),Solar thermal,477.864
2001,European Union - 27 countries (from 2020),Solar thermal,519.59
2002,European Union - 27 countries (from 2020),Solar thermal,561.484
2003,European Union - 27 countries (from 2020),Solar thermal,644.931
2004,European Union - 27 countries (from 2020),Solar thermal,676.019
2005,European Union - 27 countries (from 2020),Solar thermal,735.498
2006,European Union - 27 countries (from 2020),Solar thermal,835.522
2007,European Union - 27 countries (from 2020),Solar thermal,956.443
2008,European Union - 27 countries (from 2020),Solar thermal,1118.851
2009,European Union - 27 countries (from 2020),Solar thermal,1340.497
2010,European Union - 27 countries (from 2020),Solar thermal,1797.464
2011,European Union - 27 countries (from 2020),Solar thermal,2177.092
2012,European Union - 27 countries (from 2020),Solar thermal,3254.772
2013,European Union - 27 countries (from 2020),Solar thermal,3731.087
2014,European Union - 27 countries (from 2020),Solar thermal,4124.369
2015,European Union - 27 countries (from 2020),Solar thermal,4296.047
2016,European Union - 27 countries (from 2020),Solar thermal,4356.953
2017,European Union - 27 countries (from 2020),Solar thermal,4548.991
2018,European Union - 27 countries (from 2020),Solar thermal,4311.249
2019,European Union - 27 countries (from 2020),Solar thermal,4668.249
2020,European Union - 27 countries (from 2020),Solar thermal,4500.555
2021,European Union - 27 countries (from 2020),Solar thermal,3896.867
2022,European Union - 27 countries (from 2020),Solar thermal,3910.329
2023,European Union - 27 countries (from 2020),Solar thermal,4054.012
1990,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.222
1991,European Union - 27 countries (from 2020),"Tide, wave, ocean",44.479
1992,European Union - 27 countries (from 2020),"Tide, wave, ocean",44.388
1993,European Union - 27 countries (from 2020),"Tide, wave, ocean",42.497
1994,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.111
1995,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.63
1996,European Union - 27 countries (from 2020),"Tide, wave, ocean",42.188
1997,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.81
1998,European Union - 27 countries (from 2020),"Tide, wave, ocean",44.858
1999,European Union - 27 countries (from 2020),"Tide, wave, ocean",44.281
2000,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.621
2001,European Union - 27 countries (from 2020),"Tide, wave, ocean",41.697
2002,European Union - 27 countries (from 2020),"Tide, wave, ocean",42.514
2003,European Union - 27 countries (from 2020),"Tide, wave, ocean",42.164
2004,European Union - 27 countries (from 2020),"Tide, wave, ocean",40.428
2005,European Union - 27 countries (from 2020),"Tide, wave, ocean",41.35
2006,European Union - 27 countries (from 2020),"Tide, wave, ocean",39.92
2007,European Union - 27 countries (from 2020),"Tide, wave, ocean",40.008
2008,European Union - 27 countries (from 2020),"Tide, wave, ocean",39.993
2009,European Union - 27 countries (from 2020),"Tide, wave, ocean",38.538
2010,European Union - 27 countries (from 2020),"Tide, wave, ocean",40.963
2011,European Union - 27 countries (from 2020),"Tide, wave, ocean",41.039
2012,European Union - 27 countries (from 2020),"Tide, wave, ocean",39.38
2013,European Union - 27 countries (from 2020),"Tide, wave, ocean",35.561
2014,European Union - 27 countries (from 2020),"Tide, wave, ocean",41.318
2015,European Union - 27 countries (from 2020),"Tide, wave, ocean",41.912
2016,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.041
2017,European Union - 27 countries (from 2020),"Tide, wave, ocean",44.86
2018,European Union - 27 countries (from 2020),"Tide, wave, ocean",41.267
2019,European Union - 27 countries (from 2020),"Tide, wave, ocean",42.903
2020,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.746
2021,European Union - 27 countries (from 2020),"Tide, wave, ocean",43.233
2022,European Union - 27 countries (from 2020),"Tide, wave, ocean",44.152
2023,European Union - 27 countries (from 2020),"Tide, wave, ocean",39.663
